id,nct_id,description
4723292,NCT03414515,"The purpose of this observational study is to evaluate the performance and safety of endovascular treatment with stenting (Optimed Sinus Superflex 635 or Qualimed Pontos-pp) or balloon angioplasty (Cardionovum Legflow or Optimed Nylotrack .035 + .018) according to current practice. The goal of the study will be achieved by assessing binary restenosis with duplex ultrasound, peri- and postoperative complications, technical success, target lesion revascularization, amputation and clinical outcome."
4723296,NCT01628432,"The study compares the effect of bilateral salpingectomy associated with conservative hysterectomy on ovarian function to the standard hysterectomy with conservation of both ovaries and tubes in terms of hormone assays, ovarian ultrasound evaluation, complications, quality of life."
4723299,NCT03840837,"This is a single-site non-randomized open label pilot study. The investigators will use accelerometer-based instrumented gait analysis and computerized cognitive testing to study the interaction of motor and cognitive dysfunction in Parkinson disease dementia (PDD), and the effect of rivastigmine on motor and cognitive performance. All study participants will be tested for motor and cognitive performance at baseline (arm 1). A subgroup of study participants will then be treated with rivastigmine for 12 weeks (arm 2), and the effect of this treatment on gait measures and cognitive measures will be analyzed at the follow-up visit 12 weeks after the baseline visit. Specifically, we will determine which components of motor and cognitive impairment are associated with each other, and which components of the two domains respond to rivastigmine-mediated stimulation of cholinergic neurotransmission."
4723301,NCT05450237,"The presence of a damage to the central and / or peripheral nervous system resulting from diseases of a different nature (such as, Multiple Sclerosis, Parkinson's disease, dementia, head trauma, stroke, epilepsy or other neurological syndromes) is commonly cause of both physical than mental disability. The evaluation of certain domains may be more difficult so, specific assessment tools are necessary to analyze them."
4723309,NCT03149315,"This is a phase II open label study on the use of Ibrutinib on the inhibition of food-induced anaphylaxis in adults with food allergy. Ibrutinib (brand name Imbruvica) is currently FDA approved for the treatment of mantle cell lymphoma (MCL), chronic lymphocytic leukemia (CLL), and Waldenstrom's macroglobulineia (WM). We propose to administer this approved drug to adults with food allergy to inhibit food allergy responses."
4723310,NCT00043615,"This study will collect biological samples-blood, bone marrow, tumor or other tissue samples-for use in cancer-related research. The specimens will be used for various tests of drug resistance, blood vessel formation, cancer-causing proteins and immune functions. The purpose is to identify steps in the cancer development process that may serve as targets for treatment and to test various therapies for current and future cancer treatment clinical trials.

Individuals 18 years of age and older with cancer or a pre-cancerous condition, such as colon polyps or cervical dysplasia, are eligible for this study, as are patients at high risk for cancer. In addition, patients who do not have cancer but require surgery, biopsy or other procedure for another medical reason may be included as normal specimen donors.

Participants will have about 40 milliliters (3 tablespoons) of blood drawn upon entering the study and additional 40-ml samples drawn periodically during the course of treatment. No more than 120 ml of blood will be drawn over a 12-month period. Some patients may require a surgical procedure or biopsy (removal of tumor tissue) for medical reasons or as part of their enrollment in a research treatment study. In such cases, a portion of the specimens collected during those procedures will be used for the research studies in this protocol."
4723313,NCT05849415,"Studies suggest that chronic exposure to psychological stress can lead to oral health deterioration, alter the immune response, and possibly contribute to increased inflammation, which can impact the physiological healing of periodontal tissues.

People with psychophysiological stress disorders tend to acquire unhealthy habits, leading to less self-care, incorrect nutrition, smoking, alcohol consumption, and reduced physical activity.

This cross-sectional study aims to evaluate the correlation between periodontal health and psychological stress.

Patients between the ages of 35 and 70 will be recruited. Each patient must be visited and a periodontal assessment must be performed, recording the percentage of bleeding on probing and the Periodontal Screening and Recording (PSR). Subsequently, patients will be administered the Sheldon Cohen Perceived Stress Scale (PSS) and the Mindfulness Awareness Attention Scale (MAAS) questionnaires."
4723316,NCT00749385,"A pharmacokinetic study evaluating naproxen and esomeprazole blood levels in 4 treatments, each containing one or both components."
4723321,NCT00001932,"Patients in this study will undergo PET scans (a type of nuclear imaging test) to look for abnormalities in certain brain proteins associated with seizures.

Studies in animals have shown that serotonin-a chemical messenger produced by the body-attaches to proteins on brain cells called 5HT1A receptors and changes them in some way that may help control seizures. There is little information on these changes, however. A new compound that is highly sensitive to 5HT1A, will be used in PET imaging to measure the level of activity of these receptors and try to detect abnormalities. Changes in receptor activity may help determine where in the brain the seizures are originating.

Additional PET scans will be done to measure the amount of blood flow to the brain and the rate at which the brain uses glucose-a sugar that is the brain's main fuel. Blood flow measurement is used to calculate the distribution of serotonin receptors, and glucose use helps determine how seizures affect brain function.

The information gained from the study will be used to try to help guide the patient's therapy and determine if surgery might be beneficial in controlling the patient's seizures."
4723324,NCT03676270,Overview of response rate published in recent oncology phase I trials
4723328,NCT03645070,"It's a randomized pilot study to evaluate the incidence of esophageal thermal injury after left atrial ablation for the treatment of atrial fibrillation according to three different strategies of esophageal temperature monitoring.

These patients will be divided into 3 groups with different strategies of esophageal temperature monitoring: group 1 without monitoring, group 2 monitoring with single probe thermometer and group 3 monitoring with multi-probe thermometer.

The primary end point will be the incidence of esophageal lesions assessed by upper endoscopy."
4723331,NCT04605952,As a serosurveillance measure asymptomatic employees of an industrial workforce Jamshedpur (India) were tested for COVID-19 IgG antibodies. Of the tested employees who were positive for COVID-19 IgG antibodies the study aimed to find the percentage of cases who retained their COVID-19 IgG antibodies 45-65 days after initially testing positive.
4723337,NCT04552470,"This is a Phase 1, randomized, double blind (sponsor open), parallel, placebo controlled, twice daily oral dosing study of PF 06882961 in adult Japanese participants with T2DM inadequately controlled on diet and exercise alone."
4723340,NCT06241170,"Despite significant advancements in the treatment of Crohn's disease (CD), approximately 50% of patients undergo surgical intervention within ten years of diagnosis. Furthermore, more than 70% of these patients experience endoscopic recurrence within one year after surgery. This subset of patients often faces a poorer long-term prognosis and requires long-term intensified medical therapy. Therefore, reducing early postoperative endoscopic recurrence has remained a crucial focus in CD research.

From a surgical perspective, there have been limited breakthroughs in improving surgical techniques to reduce the postoperative endoscopic recurrence rate in CD. Recent research indicates that microscopic inflammation at the cut edge of the CD bowel segment is a significant risk factor for postoperative endoscopic recurrence. Mesenteric wrapping is a unique clinical pathological feature of CD. Our retrospective data suggest a clear linear correlation between the degree of mesenteric wrapping and microscopic inflammation in the corresponding bowel segment. Surgical margins determined by mesenteric guidance significantly reduce the postoperative endoscopic recurrence rate and clinical relapse rate compared to the traditional 2 cm margin. However, there is currently no prospective study comparing the efficacy of these two surgical approaches.To address this, investigators plan to conduct a multicenter randomized controlled trial. This trial will focus on patients with ileocolonic CD who have undergone primary anastomosis without residual disease. investigators aim to compare the postoperative endoscopic recurrence rates between mesenteric-guided margins and the traditional 2 cm margins. Our goal is to determine whether mesenteric-guided margins can reduce the postoperative endoscopic recurrence rate and to conduct relevant mechanistic research. Ultimately, this research may lead to the development of a novel surgical approach for CD based on the findings of this study."
4723344,NCT01451970,"Individuals have a significant capacity to adapt to different environments by changing their core metabolic pathways. This adaptation is especially important in regards to diet. Epidemiological research over the last several decades have shown that diets high in saturated fats have a greater ability to cause insulin resistance and the 'metabolic syndrome' while diets low in saturated fats (or a so called 'Mediterranean Diet), reduces the risk for cardiovascular disease. In humans, experimental diets high in unsaturated fats, as compared to high carbohydrate or high saturated fat diets, result in increased insulin sensitivity and improved lipid profiles.

In this application, the investigators propose to systematically assess the effects of two diets enriched in either saturated or unsaturated fatty acids and determine the cellular and molecular mechanisms of the apparent increase in insulin sensitivity. The investigators hypothesize that individuals will 'adapt' to the different diets and the investigators will be able to generate predictive alterations in gene expression and metabolites that underlie the alterations in metabolism. In parallel, the investigators will test the ability of these different diets to affect the release of gastrointestinal hormones that may be critical to modulation of appetite."
4723347,NCT01854970,"Laryngopharyngeal reflux (LPR) is the retrograde movement of gastric contents into the larynx, pharynx and upper aerodigestive tract. The symptoms and manifestations are very changeable and non specific. Pharyngeal and Oesophageal pH-impedance may help to detect these reflux and to identify patients with abnormal LPR.

To compare and describe the results of pharyngeal and oesophageal pH-impedance of patients with high suspicion of laryngopharyngeal reflux, with the results of healthy patients."
4723352,NCT02052232,"This is a randomized, double-blinded, crossover study to evaluate muscle protein metabolism during fasting and feeding in healthy older subjects."
4723353,NCT05256732,"This study will assess the safety, tolerability and pharmacokinetics (PK) of AT-527 following oral administration under fasting conditions or with a meal in healthy adult subjects"
4723355,NCT02283515,"BACKGROUND: Chronic periodontitis (CP) is an inflammatory condition affecting tooth supporting tissues and alveolar bone that surround the tooth leading to formation of deepend gingival sulcus that is highly prone to pathologic changes, ultimately bone resorption and tooth loss. In the literature, several pharmacologic agents have been administration via local delivery route, directly into diseased sites affirming greater improvement in periodontal status. Therefore, present study was conducted to determine the clinical effectiveness of subgingivally delivered 1.2% Rosuvastatin gel incorporated into an methylcellulose vehicle for its controlled release into intrabony defect sites in adjunct to scaling and root planing for treatment of chronic periodontitis patients.

MATERIAL AND METHODS: Sixty five patients were categorized into two treatment groups: group I -SRP plus RSV, 1.2 mg and group II -SRP plus placebo. Clinical parameters included modified sulcus bleeding index (mSBI), probing depth (PD), and clinical attachment level (CAL), were recorded at baseline before SRP and at 1, 3, 4, and 6 months. Radiologic assessment of intrabony defect (IBD) fill was analysed at baseline and after 6months using computer-aided software."
4723358,NCT03346837,"Assess the effects of itraconazole and rifampin on the pharmacokinetics, safety, and tolerability of BMS-986205."
4723359,NCT02479737,"Postoperative bleeding is a common consequence after heart surgery which can significantly impact outcomes and costs \[Wynne R, Christensen MC, Dixon B\]. When bleeding occurs, reliable postoperative blood evacuation of the pleural, mediastinal and pericardial spaces with chest tubes is imperative to facilitate pulmonary re-expansion and mediastinal decompression as the patient recovers. When postoperative blood evacuation is inadequate, retained blood complications can result (herein described as the Retained Blood Complications (RBC). RBC is the presence of post-operative pericardial and/or pleural fluid or blood that is diagnosed and may necessitate drainage in the acute or sub-acute setting. The need for treatment and interventions for these conditions represents an impediment to patient recovery and involves both resource and economic consumption for a heart program and the healthcare system at large.

Clinically, Retained Blood Complications (RBC) can be recognized acutely or subacutely. When it presents acutely, it is usually fresh thrombus around the heart or lungs presenting as tamponade or hemothorax. When it presents subacutely, it results in bloody pleural or pericardial effusions. These effusions are often driven by the breakdown of remaining thrombus. Once RBC occurs, subsequent procedures may be needed to remedy it.

A recent review of the literature indicated that additional procedures for RBC are demonstrated in approximately 15% to 20% of patients after heart surgery. In a prospectively collected United States Nationwide Inpatient Sample (NIS) data from 2010, RBC could be demonstrated in 17% of patients. In this analysis, mortality was doubled from 4% to 8%, length of stay was increased by 5 days, and average costs were 55% higher. Patients with RBC, therefore, represent an increased at risk population for complications and costs.

Postoperative obstruction of conventional chest tubes with blood and other fibrinous material in the setting of postoperative bleeding contributes to RBC. (Shalli) In a recent study of postoperative cardiac surgery patients at the Cleveland Clinic, 36% of patients were found to have evidence of chest tube obstruction . Active Clearance with PleuraFlow has been shown to prevent chest tube clogging, and reduce RBC."
4723362,NCT05123937,"Cerebral palsy is the most familiar motor disorder of childhood. Consistent with the results of recent scientific researches BOBATH approach in physical restoration of youngsters with cerebral palsy promotes formation of motor skills. Improvement in mobility has been primary goal in treatment of CP. There are only a few studies available within the efficacy of ""task-oriented training"" to improve gross motor function in CP child. Hence, this comparative study is undertaken to gauge the effect of task-oriented training verses neurodevelopmental training on gross motor function in cerebral palsy child. Objective of this study is to find out the effects of BOBATH technique and Task Training on gross motor function in cerebral palsy children. A Convenient sample of Cerebral Palsy children fulfilling inclusion and exclusion criteria, from physiotherapy OPD of Allied \& DHQ hospitals of Faisalabad will be considered. Informed consent will be taken from all patient's caregivers. Patients will be divided into two groups through chit draw randomization. Age of children will be 3 years to 10 years without discrimination of gender. Group A will receive BOBATH training and Group B will receive task training. Data will be collected through Gross Motor Function Measure (GMFM-88). Data analyses using SPSS version 25 as a statistical tool."
4723367,NCT03109132,"The purpose of this test is to evaluate the comfort level of several model configurations of the Smart CapnoLine plus cannula The test focuses on the comfort / discomfort generated by the device, mainly due to tubes around the ears and on the face skin, the cannula itself (especially in the nostrils and the mouth surrounding) and the smell."
4723373,NCT00128037,The purpose of this study is to evaluate the safety and efficacy of the trimodality (concurrent chemoradiotherapy followed by surgical resection) approach in superior sulcus tumors.
4723381,NCT00412737,This 2 arm study will evaluate the efficacy and safety of oseltamivir in the seasonal prophylaxis of influenza in immunocompromised participants (as represented by transplant recipients). Transplant recipients enrolled when influenza is circulating in the community will be randomized to receive oseltamivir syrup or capsules 30 milligrams (mg) to 75 mg daily (depending on body weight) or placebo for 12 weeks. Influenza symptoms and safety data will be recorded throughout the study.
4723571,NCT01311037,The Combination of GnRh Analogue and Aromatase Inhibitor in Receptor Positive Premenopausal Women with Advanced Breast Cancer A Prospective Trial.
4723572,NCT05923632,"This study was planned to determine the effect of model-based digital game on metabolic control, self-efficacy and quality of life in children with T1DM."
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
